# Code generated by scripts/generate_iam_mappings.go; DO NOT EDIT.
# Source: https://servicereference.us-east-1.amazonaws.com/v1/service-list.json
# Services: 452
access-analyzer:ApplyArchiveRule	access-analyzer:ApplyArchiveRule
access-analyzer:CancelPolicyGeneration	access-analyzer:CancelPolicyGeneration
access-analyzer:CheckAccessNotGranted	access-analyzer:CheckAccessNotGranted
access-analyzer:CheckNoNewAccess	access-analyzer:CheckNoNewAccess
access-analyzer:CheckNoPublicAccess	access-analyzer:CheckNoPublicAccess
access-analyzer:CreateAccessPreview	access-analyzer:CreateAccessPreview
access-analyzer:CreateAnalyzer	access-analyzer:CreateAnalyzer,access-analyzer:TagResource
access-analyzer:CreateArchiveRule	access-analyzer:CreateArchiveRule
access-analyzer:CreateServiceLinkedAnalyzer	access-analyzer:CreateServiceLinkedAnalyzer
access-analyzer:DeleteAnalyzer	access-analyzer:DeleteAnalyzer
access-analyzer:DeleteArchiveRule	access-analyzer:DeleteArchiveRule
access-analyzer:DeleteServiceLinkedAnalyzer	access-analyzer:DeleteServiceLinkedAnalyzer
access-analyzer:GenerateFindingRecommendation	access-analyzer:GenerateFindingRecommendation
access-analyzer:GetAccessPreview	access-analyzer:GetAccessPreview
access-analyzer:GetAnalyzedResource	access-analyzer:GetAnalyzedResource
access-analyzer:GetAnalyzer	access-analyzer:GetAnalyzer
access-analyzer:GetArchiveRule	access-analyzer:GetArchiveRule
access-analyzer:GetFinding	access-analyzer:GetFinding
access-analyzer:GetFindingRecommendation	access-analyzer:GetFindingRecommendation
access-analyzer:GetFindingV2	access-analyzer:GetFinding
access-analyzer:GetFindingsStatistics	access-analyzer:GetFindingsStatistics
access-analyzer:GetGeneratedPolicy	access-analyzer:GetGeneratedPolicy
access-analyzer:ListAccessPreviewFindings	access-analyzer:ListAccessPreviewFindings
access-analyzer:ListAccessPreviews	access-analyzer:ListAccessPreviews
access-analyzer:ListAnalyzedResources	access-analyzer:ListAnalyzedResources
access-analyzer:ListAnalyzers	access-analyzer:ListAnalyzers
access-analyzer:ListArchiveRules	access-analyzer:ListArchiveRules
access-analyzer:ListFindings	access-analyzer:ListFindings
access-analyzer:ListFindingsV2	access-analyzer:ListFindings
access-analyzer:ListPolicyGenerations	access-analyzer:ListPolicyGenerations
access-analyzer:ListTagsForResource	access-analyzer:ListTagsForResource
access-analyzer:StartPolicyGeneration	access-analyzer:StartPolicyGeneration,iam:PassRole
access-analyzer:StartResourceScan	access-analyzer:StartResourceScan
access-analyzer:TagResource	access-analyzer:TagResource
access-analyzer:UntagResource	access-analyzer:UntagResource
access-analyzer:UpdateAnalyzer	access-analyzer:UpdateAnalyzer
access-analyzer:UpdateArchiveRule	access-analyzer:UpdateArchiveRule
access-analyzer:UpdateFindings	access-analyzer:UpdateFindings
access-analyzer:ValidatePolicy	access-analyzer:ValidatePolicy
accessanalyzer:ApplyArchiveRule	access-analyzer:ApplyArchiveRule
accessanalyzer:CancelPolicyGeneration	access-analyzer:CancelPolicyGeneration
accessanalyzer:CheckAccessNotGranted	access-analyzer:CheckAccessNotGranted
accessanalyzer:CheckNoNewAccess	access-analyzer:CheckNoNewAccess
accessanalyzer:CheckNoPublicAccess	access-analyzer:CheckNoPublicAccess
accessanalyzer:CreateAccessPreview	access-analyzer:CreateAccessPreview
